LANGUAGE	ACCURACY	HAMMING	EVENT_ACCURACY	EVENT_HAMMING	F1-SCORE	PRECISION	RECALL	#SAMPLES	%EVENTS
italy	58.1	93.3	33.3	88.5	87.5	88.5	87.5	928	46.01
uk	50.6	92.6	45.8	91.7	91.6	92.5	92.5	810	61.23
norway	50	92.9	43.8	92.2	89.9	92.2	88.4	277	58.48
france	46.8	90.4	45.2	89.9	89.4	89.9	89.7	465	84.09
hungary	90	97.5	50	75	75	75	75	95	6.32
poland	80	96.3	75	95.3	95.9	95.3	97.4	95	84.21
belgium	77.1	96.8	37.5	91.7	90.2	91.7	91.4	1307	24.87
netherlands	61.1	93.8	44.4	90.3	90.3	90.3	91.5	171	40.35
total	61.7	93.9	42.4	90.4	89.8	90.4	90.2	4148	47.15
dummy	54.7	92.9	0	84.2	77.6	84.2	72.7	-	 - 
